Gene_Ensembl_ID,GSM4282198_sh587,GSM4282199_shE,GSM4282200_shE,GSM4282201_sh587,GSM4282202_shE,GSM4282203_sh587,GSM4282204_sh587
ENSG00000135249,31.54193609877429,25.582235753102584,22.936379596205768,32.287063392922455,31.611311556233616,25.17235246492447,24.920983852150545
ENSG00000135250,50.20367811816841,39.51654291207612,44.39723413558556,77.61069440875312,83.82831864870342,51.33185600690479,48.803593377128145
ENSG00000135253,3.284192912670642,2.4664083730999677,2.688085252039402,2.2699859965958833,1.8696287455658307,3.064281468360903,2.0616997510535175
ENSG00000135269,20.423574675670558,22.035648530469782,22.074439216475742,32.76895986147353,49.83024699174746,16.76100266251098,21.279149255399076
ENSG00000135272,7.936799538954051,5.850968768302843,7.348406966172931,18.743236329434165,22.767039405223624,8.185127680588185,6.155001446575829
ENSG00000135297,32.551141212563714,25.510223829800395,30.080258336680046,45.818208970396235,40.720779273990544,30.601683388731708,24.785543722519293
ENSG00000135299,13.598611279026876,10.58575272542176,13.14824308062751,18.743236329434165,19.279717702501543,11.599025155406371,12.114367150350958
ENSG00000135314,5.884178968534901,4.590760110514538,4.046737037037578,4.463883077104754,2.625436110794571,4.730098910892669,3.265612014442432
ENSG00000135315,18.234112733890125,15.770611203179357,16.858969461160164,24.32309017581511,24.371472584042532,18.303426220410763,17.155749753292042
ENSG00000135316,342.24026977455316,354.2266507234669,448.44274400326896,319.370543789222,421.3427164475166,316.0323041899463,290.1127576701438
ENSG00000135317,41.65109240808861,30.64107336508135,27.421391402597596,50.81471446011008,35.377088604039976,37.3060844537361,30.112855488015242
ENSG00000135318,1.6592016277554806,1.026169907056191,0.8911586976869758,5.744713164569471,2.5060981057584537,1.213373198881163,2.1670420741000473
ENSG00000135324,17.242012791520867,8.479403968832735,6.93935051477563,19.351947658130268,7.425475868913937,25.748190593207053,21.926252096970618
ENSG00000135333,5.422339340190591,6.787123771231298,6.47185742746443,13.049249108922703,17.224452060212865,5.922906462335168,6.019561316944576
